truth_table_hex,distance,canonical_expression,neighbour_count,failing_neighbour_count,rigidity
00ff,1,N(x3),6,6,1
0f0f,1,N(x2),6,6,1
0ff0,1,"X(x2,x3)",12,12,1
3333,1,N(x1),6,6,1
33cc,1,"X(x1,x3)",12,12,1
3c3c,1,"X(x1,x2)",12,12,1
5555,1,N(x0),6,6,1
55aa,1,"X(x0,x3)",12,12,1
5a5a,1,"X(x0,x2)",12,12,1
6666,1,"X(x0,x1)",12,12,1
8888,1,"A(x0,x1)",12,12,1
a0a0,1,"A(x0,x2)",12,12,1
aa00,1,"A(x0,x3)",12,12,1
c0c0,1,"A(x1,x2)",12,11,0.91666666666666663
cc00,1,"A(x1,x3)",12,12,1
eeee,1,"O(x0,x1)",12,12,1
f000,1,"A(x2,x3)",12,12,1
fafa,1,"O(x0,x2)",12,12,1
fcfc,1,"O(x1,x2)",12,11,0.91666666666666663
ffaa,1,"O(x0,x3)",12,12,1
ffcc,1,"O(x1,x3)",12,11,0.91666666666666663
fff0,1,"O(x2,x3)",12,12,1
000f,2,"N(O(x2,x3))",12,12,1
0033,2,"N(O(x1,x3))",12,11,0.91666666666666663
0055,2,"N(O(x0,x3))",12,12,1
00aa,2,"A(N(x3),x0)",12,12,1
00cc,2,"A(N(x3),x1)",12,11,0.91666666666666663
00f0,2,"A(N(x3),x2)",12,12,1
0303,2,"N(O(x1,x2))",12,11,0.91666666666666663
03fc,2,"X(O(x1,x2),x3)",19,18,0.94736842105263153
0505,2,"N(O(x0,x2))",12,12,1
05fa,2,"X(O(x0,x2),x3)",19,19,1
0a0a,2,"A(N(x2),x0)",12,12,1
0aa0,2,"A(X(x2,x3),x0)",18,18,1
0c0c,2,"A(N(x2),x1)",12,12,1
0cc0,2,"A(X(x2,x3),x1)",18,18,1
0f00,2,"A(N(x2),x3)",12,12,1
0f3c,2,"X(O(x1,x3),x2)",19,18,0.94736842105263153
0f5a,2,"X(O(x0,x3),x2)",19,19,1
0fff,2,"N(A(x2,x3))",12,12,1
1111,2,"N(O(x0,x1))",12,12,1
11ee,2,"X(O(x0,x1),x3)",19,19,1
1e1e,2,"X(O(x0,x1),x2)",19,19,1
2222,2,"A(N(x1),x0)",12,12,1
